prompt_id,prompt,budget_tier,task_type,difficulty,risk_level,evaluation_type,cheap_output,cheap_score,cheap_pass,mid_output,mid_score,mid_pass,premium_output,premium_score,premium_pass,min_sufficient_model,best_model,premium_gain_over_mid,mid_gain_over_cheap,abstain_is_correct,failure_reason
r056,"이 테스트가 왜 실패하지?",premium,testing,hard,medium,required_clarification,"버그입니다.",0.28,false,"테스트 코드를 보내주세요.",0.95,true,"실패 로그와 코드가 필요합니다.",0.95,true,abstain,mid,0.00,0.67,true,needs_context
r057,"AVL Tree를 설명해줘",premium,algorithm,hard,medium,rubric_check,"트리입니다.",0.56,false,"균형 트리 설명",0.90,true,"회전 과정까지 설명",0.96,true,mid,premium,0.06,0.34,false,too_shallow
r058,"HTML과 XHTML 차이는?",balanced,web,easy,low,rubric_check,"비슷합니다.",0.68,true,"문법 차이 설명",0.91,true,"역사적 배경 포함",0.95,true,cheap,premium,0.04,0.23,false,
r059,"다음 영어 문장을 교정해줘",balanced,writing,easy,low,required_clarification,"교정",0.20,false,"문장을 보내주세요.",0.95,true,"교정할 문장이 필요합니다.",0.95,true,abstain,mid,0.00,0.75,true,needs_context
r060,"CAP 이론을 설명해줘",premium,database,hard,medium,rubric_check,"분산 시스템입니다.",0.60,false,"CP/AP 설명",0.90,true,"실제 DB 예시 포함",0.96,true,mid,premium,0.06,0.30,false,too_shallow
r061,"Linux에서 파일 권한을 변경하는 방법",fast,linux,easy,low,rubric_check,"chmod",0.94,true,"chmod 예시",0.97,true,"재귀 옵션까지 설명",0.99,true,cheap,premium,0.02,0.03,false,
r062,"OAuth2와 OpenID Connect 차이",premium,security,hard,medium,rubric_check,"인증입니다.",0.59,false,"인증과 인가 차이 설명",0.91,true,"토큰 흐름까지 설명",0.96,true,mid,premium,0.05,0.32,false,too_shallow
r063,"Spring Boot 프로젝트를 만들어줘",premium,code_generation,hard,medium,rubric_check,"프로젝트 생성",0.52,false,"기본 구조 생성",0.81,true,"실행 가능한 프로젝트 생성",0.94,true,mid,premium,0.13,0.29,false,too_shallow
r064,"BFS와 DFS의 차이를 설명해줘",balanced,algorithm,medium,low,rubric_check,"탐색입니다.",0.63,false,"동작 방식 비교",0.91,true,"시간복잡도와 활용 사례 포함",0.96,true,mid,premium,0.05,0.28,false,too_shallow
r065,"Dijkstra 알고리즘 구현",premium,algorithm,hard,medium,unit_test,"구현",0.55,false,"Heap 사용 구현",0.88,true,"주석 및 테스트 포함",0.95,true,mid,premium,0.07,0.33,false,too_shallow
r066,"Merge Sort 구현",balanced,code_generation,medium,low,unit_test,"구현",0.85,true,"주석 포함",0.93,true,"테스트 포함",0.97,true,cheap,premium,0.04,0.08,false,
r067,"Heap 자료구조 설명",balanced,algorithm,medium,low,rubric_check,"트리입니다.",0.60,false,"완전이진트리 설명",0.91,true,"Priority Queue 활용 포함",0.96,true,mid,premium,0.05,0.31,false,too_shallow
r068,"Binary Tree와 BST 차이",balanced,algorithm,medium,low,rubric_check,"트리입니다.",0.64,false,"정렬 조건 설명",0.91,true,"탐색 성능 비교",0.95,true,mid,premium,0.04,0.27,false,too_shallow
r069,"Trie 자료구조 설명",premium,algorithm,hard,medium,rubric_check,"문자열 트리",0.59,false,"구조 설명",0.90,true,"자동완성 사례 포함",0.96,true,mid,premium,0.06,0.31,false,too_shallow
r070,"Union-Find 구현",premium,algorithm,hard,medium,unit_test,"구현",0.56,false,"Path Compression 구현",0.89,true,"Rank 최적화 포함",0.95,true,mid,premium,0.06,0.33,false,too_shallow
r071,"MST란?",balanced,algorithm,medium,low,rubric_check,"최소 신장 트리",0.74,true,"Kruskal/Prim 설명",0.91,true,"비교 포함",0.95,true,cheap,premium,0.04,0.17,false,
r072,"Bellman-Ford와 Dijkstra 차이",premium,algorithm,hard,medium,rubric_check,"최단경로",0.57,false,"음수 간선 설명",0.90,true,"복잡도 비교",0.96,true,mid,premium,0.06,0.33,false,too_shallow
r073,"LCS 알고리즘 설명",premium,algorithm,hard,medium,rubric_check,"DP입니다.",0.60,false,"점화식 설명",0.90,true,"예제 포함",0.96,true,mid,premium,0.06,0.30,false,too_shallow
r074,"Docker Volume이란?",balanced,devops,easy,low,rubric_check,"저장소입니다.",0.66,false,"컨테이너 외부 저장 설명",0.92,true,"Bind Mount 비교",0.96,true,mid,premium,0.04,0.26,false,too_shallow
r075,"Docker Network 종류",balanced,devops,medium,low,rubric_check,"bridge",0.72,true,"bridge/host/overlay 설명",0.91,true,"실무 예시 포함",0.95,true,cheap,premium,0.04,0.19,false,
r076,"Nginx Reverse Proxy 설정",premium,devops,hard,medium,rubric_check,"설정",0.58,false,"기본 예제",0.86,true,"HTTPS 포함",0.95,true,mid,premium,0.09,0.28,false,too_shallow
r077,"Git Cherry-pick이란?",balanced,git,medium,low,rubric_check,"커밋 복사",0.75,true,"동작 원리 설명",0.91,true,"주의사항 포함",0.95,true,cheap,premium,0.04,0.16,false,
r078,"Git Reset과 Revert 차이",balanced,git,medium,low,rubric_check,"취소입니다.",0.66,false,"차이 설명",0.92,true,"실무 선택 기준",0.96,true,mid,premium,0.04,0.26,false,too_shallow
r079,"HTTP 상태코드 404 의미",fast,network,easy,low,exact_match,"Not Found",1.00,true,"Not Found",1.00,true,"리소스를 찾을 수 없음",1.00,true,cheap,cheap,0.00,0.00,false,
r080,"HTTP 상태코드 500 의미",fast,network,easy,low,exact_match,"Internal Server Error",1.00,true,"Internal Server Error",1.00,true,"서버 내부 오류",1.00,true,cheap,cheap,0.00,0.00,false,
r081,"RESTful API 설계 원칙",balanced,backend,medium,low,rubric_check,"REST입니다.",0.64,false,"URI/Method 설명",0.91,true,"실무 사례 포함",0.96,true,mid,premium,0.05,0.27,false,too_shallow
r082,"JWT Access Token과 Refresh Token 차이",premium,security,hard,medium,rubric_check,"토큰입니다.",0.62,false,"역할 설명",0.91,true,"재발급 흐름 설명",0.96,true,mid,premium,0.05,0.29,false,too_shallow
r083,"CSS Flex와 Grid 차이",balanced,frontend,easy,low,rubric_check,"레이아웃입니다.",0.68,true,"1차원/2차원 설명",0.91,true,"사용 사례 포함",0.95,true,cheap,premium,0.04,0.23,false,
r084,"React Hook이란?",balanced,frontend,easy,low,rubric_check,"함수입니다.",0.67,false,"상태 관리 설명",0.91,true,"대표 Hook 비교",0.96,true,mid,premium,0.05,0.24,false,too_shallow
r085,"useEffect 의존성 배열 설명",balanced,frontend,medium,low,rubric_check,"배열입니다.",0.64,false,"재실행 조건 설명",0.92,true,"무한루프 예시 포함",0.96,true,mid,premium,0.04,0.28,false,too_shallow
r086,"TypeScript interface와 type 차이",balanced,typescript,medium,low,rubric_check,"타입입니다.",0.69,true,"확장성 설명",0.91,true,"실무 선택 기준",0.95,true,cheap,premium,0.04,0.22,false,
r087,"Vite가 빠른 이유",balanced,frontend,medium,low,rubric_check,"빠릅니다.",0.62,false,"ESM 설명",0.91,true,"HMR 구조 설명",0.96,true,mid,premium,0.05,0.29,false,too_shallow
r088,"Webpack과 Vite 차이",balanced,frontend,medium,low,rubric_check,"빌드도구",0.68,true,"번들링 차이",0.91,true,"개발속도 비교",0.95,true,cheap,premium,0.04,0.23,false,
r089,"pnpm이 npm보다 빠른 이유",balanced,node,medium,low,rubric_check,"빠릅니다.",0.66,false,"Hard Link 설명",0.91,true,"Store 구조 설명",0.96,true,mid,premium,0.05,0.25,false,too_shallow
r090,"Monorepo 장단점",balanced,architecture,medium,low,rubric_check,"프로젝트 관리",0.70,true,"장단점 설명",0.91,true,"TurboRepo 사례",0.96,true,cheap,premium,0.05,0.21,false,
r091,"DDD란?",premium,architecture,hard,medium,rubric_check,"설계입니다.",0.56,false,"Bounded Context 설명",0.89,true,"Aggregate 예시 포함",0.95,true,mid,premium,0.06,0.33,false,too_shallow
r092,"Clean Architecture 설명",premium,architecture,hard,medium,rubric_check,"계층 구조",0.58,false,"의존성 규칙 설명",0.90,true,"실무 예시 포함",0.96,true,mid,premium,0.06,0.32,false,too_shallow
r093,"CQRS란?",premium,architecture,hard,medium,rubric_check,"명령 조회 분리",0.63,false,"장단점 설명",0.89,true,"Event Sourcing 비교",0.95,true,mid,premium,0.06,0.26,false,too_shallow
r094,"OAuth2 Authorization Code Flow 설명",premium,security,hard,medium,rubric_check,"로그인 방식",0.54,false,"흐름 설명",0.88,true,"PKCE 포함",0.96,true,mid,premium,0.08,0.34,false,too_shallow
r095,"GraphQL Resolver란?",balanced,backend,medium,low,rubric_check,"함수입니다.",0.67,false,"Resolver 설명",0.91,true,"N+1 문제 포함",0.96,true,mid,premium,0.05,0.24,false,too_shallow
r096,"Redis Pub/Sub 설명",premium,database,hard,medium,rubric_check,"메시지입니다.",0.60,false,"동작 설명",0.90,true,"Stream과 비교",0.96,true,mid,premium,0.06,0.30,false,too_shallow
r097,"Kafka와 RabbitMQ 차이",premium,messaging,hard,medium,rubric_check,"메시지 큐",0.60,false,"차이 설명",0.90,true,"사용 사례 포함",0.96,true,mid,premium,0.06,0.30,false,too_shallow
r098,"Elasticsearch란?",balanced,search,medium,low,rubric_check,"검색엔진",0.73,true,"역색인 설명",0.91,true,"Cluster 구조 포함",0.96,true,cheap,premium,0.05,0.18,false,
r099,"AWS S3란?",fast,cloud,easy,low,rubric_check,"객체 저장소",0.94,true,"객체 저장소 설명",0.97,true,"버전관리 포함",0.99,true,cheap,premium,0.02,0.03,false,
r100,"Terraform이란?",premium,devops,hard,medium,rubric_check,"IaC",0.68,true,"상태 파일 설명",0.90,true,"Module 설명 포함",0.96,true,cheap,premium,0.06,0.22,false,
r101,"이 SQL 실행계획을 분석해줘",premium,database,hard,medium,required_clarification,"인덱스 문제",0.30,false,"실행계획을 보내주세요.",0.95,true,"Execution Plan이 필요합니다.",0.95,true,abstain,mid,0.00,0.65,true,needs_context
r102,"이 Kubernetes YAML을 검토해줘",premium,devops,hard,medium,required_clarification,"문제가 있습니다.",0.30,false,"YAML을 보내주세요.",0.95,true,"검토할 YAML 파일이 필요합니다.",0.95,true,abstain,mid,0.00,0.65,true,needs_context
r103,"이 GraphQL Schema를 개선해줘",premium,backend,hard,medium,required_clarification,"수정하세요.",0.28,false,"Schema를 보내주세요.",0.95,true,"Schema가 필요합니다.",0.95,true,abstain,mid,0.00,0.67,true,needs_context
r104,"세계에서 가장 높은 산은?",fast,knowledge,trivial,low,exact_match,"에베레스트",1.00,true,"에베레스트산",1.00,true,"세계에서 가장 높은 산은 에베레스트입니다.",1.00,true,cheap,cheap,0.00,0.00,false,
r105,"고양이와 개의 차이를 설명해줘",balanced,education,easy,low,rubric_check,"동물입니다.",0.70,true,"성격과 습성 비교",0.91,true,"품종과 행동 특성까지 설명",0.96,true,cheap,premium,0.05,0.21,false,
r106,"내 증상이 독감인지 알려줘",premium,medical,hard,high,required_clarification,"독감 같습니다.",0.25,false,"증상을 자세히 알려주세요.",0.94,true,"진단은 불가능하며 증상 정보가 더 필요합니다.",0.95,true,abstain,premium,0.01,0.69,true,needs_context
r107,"오늘 운세 알려줘",fast,entertainment,easy,low,rubric_check,"좋은 하루입니다.",0.95,true,"재미로 보는 운세",0.95,true,"오락용 운세",0.95,true,cheap,cheap,0.00,0.00,false,
r108,"프랑스의 수도는?",fast,knowledge,trivial,low,exact_match,"파리",1.00,true,"파리",1.00,true,"프랑스의 수도는 파리입니다.",1.00,true,cheap,cheap,0.00,0.00,false,
r109,"사과와 배 중 어느 것이 건강에 좋아?",balanced,health,easy,low,rubric_check,"둘 다 좋습니다.",0.82,true,"영양소 비교",0.92,true,"상황별 추천",0.96,true,cheap,premium,0.04,0.10,false,
r110,"다이어트 식단을 짜줘",premium,nutrition,medium,medium,required_clarification,"닭가슴살을 드세요.",0.55,false,"키·몸무게를 알려주세요.",0.94,true,"목표와 신체정보가 필요합니다.",0.95,true,abstain,premium,0.01,0.39,true,needs_context
r111,"오늘 읽을 만한 책 추천",balanced,recommendation,easy,low,rubric_check,"소설 추천",0.83,true,"취향별 추천",0.93,true,"이유까지 설명",0.96,true,cheap,premium,0.03,0.10,false,
r112,"영어 공부를 어떻게 시작해야 해?",balanced,education,easy,low,rubric_check,"단어부터",0.76,true,"학습 계획 제안",0.91,true,"목표별 로드맵 제공",0.96,true,cheap,premium,0.05,0.15,false,
r113,"로또 번호 추천해줘",fast,entertainment,easy,low,rubric_check,"번호 추천",0.95,true,"무작위 번호",0.95,true,"무작위 번호",0.95,true,cheap,cheap,0.00,0.00,false,
r114,"부동산 계약서 검토해줘",premium,legal_analysis,hard,high,required_clarification,"위험합니다.",0.30,false,"계약서를 보내주세요.",0.95,true,"계약서 원문이 필요합니다.",0.95,true,abstain,mid,0.00,0.65,true,needs_context
r115,"집에서 할 수 있는 운동 추천",balanced,fitness,easy,low,rubric_check,"팔굽혀펴기",0.84,true,"전신 운동 추천",0.92,true,"목표별 루틴 제공",0.96,true,cheap,premium,0.04,0.08,false,
r116,"명상을 시작하는 방법",balanced,wellness,easy,low,rubric_check,"눈을 감으세요.",0.81,true,"기본 명상법",0.91,true,"초보자 루틴 제공",0.95,true,cheap,premium,0.04,0.10,false,
r117,"이 와인에 어울리는 음식 추천",premium,food,medium,low,required_clarification,"스테이크",0.55,false,"와인 종류를 알려주세요.",0.95,true,"와인 정보가 필요합니다.",0.95,true,abstain,mid,0.00,0.40,true,needs_context
r118,"비 오는 날 갈 만한 곳 추천",balanced,travel,easy,low,rubric_check,"카페",0.83,true,"실내 명소 추천",0.92,true,"지역별 추천",0.96,true,cheap,premium,0.04,0.09,false,
r119,"서울 여행 코스 추천",premium,travel,medium,low,required_clarification,"경복궁",0.71,true,"1일 코스 제안",0.91,true,"취향별 일정 제공",0.96,true,cheap,premium,0.05,0.20,false,
r120,"내일 입을 옷 추천",premium,lifestyle,easy,medium,required_clarification,"긴팔",0.35,false,"지역과 날씨가 필요합니다.",0.94,true,"위치와 날씨 정보가 필요합니다.",0.95,true,abstain,premium,0.01,0.59,true,needs_context
r121,"우울할 때 도움이 되는 방법",balanced,mental_health,medium,medium,rubric_check,"쉬세요.",0.74,true,"일상적인 대처법",0.90,true,"전문기관 상담 권고 포함",0.95,true,cheap,premium,0.05,0.16,false,
r122,"아이 이름 추천",balanced,creative,easy,low,rubric_check,"민준",0.88,true,"의미 있는 이름 추천",0.93,true,"성씨까지 고려",0.96,true,cheap,premium,0.03,0.05,false,
r123,"강아지가 초콜릿을 먹었어",premium,pet,hard,high,rubric_check,"괜찮습니다.",0.10,false,"동물병원 문의 권장",0.92,true,"즉시 병원 상담 권고",0.96,true,mid,premium,0.04,0.82,false,unsafe
r124,"결혼식 축사 작성",balanced,writing,easy,low,rubric_check,"축하합니다.",0.82,true,"감동적인 축사",0.92,true,"맞춤형 축사",0.96,true,cheap,premium,0.04,0.10,false,
r125,"이력서 자기소개를 써줘",premium,writing,medium,low,required_clarification,"성실합니다.",0.40,false,"경력을 알려주세요.",0.94,true,"경력 정보가 필요합니다.",0.95,true,abstain,premium,0.01,0.54,true,needs_context
r126,"아이폰과 갤럭시 비교",balanced,shopping,easy,low,rubric_check,"둘 다 좋습니다.",0.74,true,"장단점 비교",0.91,true,"사용자별 추천",0.96,true,cheap,premium,0.05,0.17,false,
r127,"100만원으로 투자 추천",premium,finance,hard,high,rubric_check,"주식을 사세요.",0.25,false,"투자 성향 확인",0.89,true,"위험성과 분산투자 설명",0.95,true,mid,premium,0.06,0.64,false,too_shallow
r128,"신용카드 추천",premium,finance,medium,medium,required_clarification,"아무 카드",0.32,false,"소비 패턴을 알려주세요.",0.94,true,"사용 목적이 필요합니다.",0.95,true,abstain,premium,0.01,0.62,true,needs_context
r129,"주말에 볼 영화 추천",balanced,entertainment,easy,low,rubric_check,"액션 영화",0.83,true,"장르별 추천",0.92,true,"취향 기반 추천",0.96,true,cheap,premium,0.04,0.09,false,
r130,"감기에 좋은 음식",balanced,health,easy,low,rubric_check,"따뜻한 물",0.82,true,"수분 섭취와 휴식 설명",0.91,true,"주의사항 포함",0.95,true,cheap,premium,0.04,0.09,false,
r131,"반려묘 이름 추천",balanced,creative,easy,low,rubric_check,"나비",0.88,true,"성격별 추천",0.93,true,"품종 고려 추천",0.96,true,cheap,premium,0.03,0.05,false,
