Prompt,정답
Java에서 Interface와 Abstract Class의 차이를 알려줘.,cheap
TCP는 무엇인가?,cheap
OSI 7계층을 순서대로 말해줘.,cheap
HTML과 CSS의 역할을 설명해줘.,cheap
Git에서 merge란 무엇인가?,cheap
DNS의 역할은 무엇인가?,cheap
쿠키와 세션의 차이를 알려줘.,cheap
REST API란 무엇인가?,cheap
HTTPS가 HTTP보다 안전한 이유는?,cheap
IPv4와 IPv6의 차이를 알려줘.,cheap
Docker Image와 Container의 차이는?,cheap
JSON과 XML의 차이는?,cheap
JavaScript에서 let과 const의 차이를 알려줘.,cheap
SQL의 SELECT 문법을 설명해줘.,cheap
Spring Boot의 특징을 알려줘.,cheap
React에서 useState의 역할은?,cheap
CSS Flexbox가 무엇인가?,cheap
브라우저 캐시란 무엇인가?,cheap
Git clone과 pull의 차이는?,cheap
Linux에서 ls 명령어는 무엇인가?,cheap
JWT 인증과 Session 인증을 비교해줘.,mid
React의 Virtual DOM 동작 원리를 설명해줘.,mid
Spring Boot에서 Bean이 생성되는 과정을 설명해줘.,mid
BFS와 DFS를 비교해줘.,mid
HashMap과 TreeMap의 차이를 설명해줘.,mid
동기와 비동기의 차이를 예제를 들어 설명해줘.,mid
멀티스레드와 멀티프로세스의 차이를 설명해줘.,mid
RDBMS와 NoSQL을 비교해줘.,mid
Docker Compose를 사용하는 이유를 설명해줘.,mid
OAuth2 인증 흐름을 설명해줘.,mid
Redis를 캐시로 사용할 때 장단점을 설명해줘.,mid
CI/CD 파이프라인을 단계별로 설명해줘.,mid
HTTPS에서 TLS Handshake 과정을 설명해줘.,mid
Garbage Collection의 원리를 설명해줘.,mid
Binary Search의 시간복잡도를 설명해줘.,mid
Monolithic과 MSA를 비교해줘.,mid
Git Rebase와 Merge의 차이를 설명해줘.,mid
REST API 설계 시 고려해야 할 원칙을 설명해줘.,mid
Docker Network의 종류와 차이를 설명해줘.,mid
Thread Pool을 사용하는 이유를 설명해줘.,mid
100만 명이 동시에 접속하는 채팅 서버의 전체 아키텍처를 설계해줘.,premium
React, Zustand, TanStack Query를 사용하는 대규모 프로젝트의 상태관리 전략을 설계해줘.,premium
분산 시스템에서 Raft와 Paxos를 비교하고 각각의 장단점을 설명해줘.,premium
LLM Router를 비용 대비 품질이 최대가 되도록 설계해줘.,premium
GitHub Actions와 GitLab CI를 활용한 대규모 CI/CD 파이프라인을 설계해줘.,premium
PostgreSQL 성능이 급격히 저하된 원인을 분석하고 해결 전략을 제안해줘.,premium
JWT 기반 인증 시스템의 보안 취약점을 분석하고 개선 방안을 제안해줘.,premium
OpenAPI 기반 코드 생성 프로젝트의 전체 아키텍처를 설계해줘.,premium
Transformer의 Self-Attention 연산을 수식과 함께 설명해줘.,premium
메모리 누수가 발생하는 Java 애플리케이션의 원인을 추론하고 해결 방법을 제시해줘.,premium
실시간 지도 서비스의 백엔드 아키텍처를 설계해줘.,premium
Kubernetes 환경에서 Blue-Green과 Canary 배포 전략을 비교하고 적절한 선택 기준을 설명해줘.,premium
수백 개의 마이크로서비스를 운영하는 환경에서 권한 관리 구조를 설계해줘.,premium
대규모 React 프로젝트의 Feature-Sliced Design 아키텍처를 설계해줘.,premium
분산 캐시 환경에서 데이터 일관성을 유지하는 방법을 설명해줘.,premium
기존 모놀리식 시스템을 MSA로 전환하는 단계별 전략을 제시해줘.,premium
Python으로 LRU Cache를 구현하고 시간복잡도를 증명해줘.,premium
SQL 실행계획을 분석하여 병목 원인을 찾는 절차를 설명해줘.,premium
멀티테넌트 SaaS 시스템의 데이터베이스 구조를 설계해줘.,premium
대규모 로그 분석 플랫폼의 전체 데이터 파이프라인을 설계해줘.,premium
대한민국의 수도는 어디인가?,cheap
지구는 태양계의 몇 번째 행성인가?,cheap
물의 화학식은?,cheap
피타고라스는 어느 나라의 수학자인가?,cheap
영어 알파벳은 몇 개인가?,cheap
RGB는 무엇의 약자인가?,cheap
HTTP의 의미를 알려줘.,cheap
HTTPS는 무엇인가?,cheap
브라우저란 무엇인가?,cheap
쿠키(Cookie)는 무엇인가?,cheap
캐시(Cache)란 무엇인가?,cheap
IPv4 주소는 몇 비트인가?,cheap
MAC 주소란 무엇인가?,cheap
DNS의 역할은 무엇인가?,cheap
SSH는 무엇인가?,cheap
Docker는 무엇인가?,cheap
Git은 무엇인가?,cheap
Python은 어떤 언어인가?,cheap
JavaScript는 어떤 언어인가?,cheap
SQL이 무엇인지 설명해줘.,cheap
Spring Boot가 무엇인지 설명해줘.,cheap
Linux는 어떤 운영체제인가?,cheap
JSON의 장점을 알려줘.,cheap
CSV 파일이 무엇인지 설명해줘.,cheap
REST API란 무엇인가?,cheap
TCP와 UDP의 차이를 설명해줘.,mid
HTTP와 HTTPS를 비교해줘.,mid
Stack과 Queue의 차이를 설명해줘.,mid
Array와 Linked List를 비교해줘.,mid
HashMap의 동작 원리를 설명해줘.,mid
BFS와 DFS를 비교해줘.,mid
Binary Search의 시간복잡도를 설명해줘.,mid
Merge Sort와 Heap Sort를 비교해줘.,mid
Java의 Interface와 Abstract Class의 차이를 설명해줘.,mid
오버로딩과 오버라이딩의 차이를 설명해줘.,mid
JVM의 메모리 구조를 설명해줘.,mid
Garbage Collection의 동작 방식을 설명해줘.,mid
React의 Virtual DOM을 설명해줘.,mid
useMemo와 useCallback의 차이를 설명해줘.,mid
Spring DI가 필요한 이유를 설명해줘.,mid
JPA의 영속성 컨텍스트를 설명해줘.,mid
OAuth2 인증 흐름을 설명해줘.,mid
JWT 인증의 장단점을 설명해줘.,mid
Redis를 캐시로 사용하는 이유를 설명해줘.,mid
CAP 이론을 설명해줘.,mid
ACID의 네 가지 특성을 설명해줘.,mid
Deadlock이 발생하는 조건을 설명해줘.,mid
Semaphore와 Mutex의 차이를 설명해줘.,mid
멀티스레드 환경에서 Race Condition이 발생하는 이유를 설명해줘.,mid
CI/CD 파이프라인의 일반적인 흐름을 설명해줘.,mid
전 세계 사용자를 대상으로 하는 URL 단축 서비스를 설계해줘.,premium
수천만 명이 사용하는 실시간 채팅 시스템을 설계해줘.,premium
대규모 전자상거래 주문 시스템의 아키텍처를 설계해줘.,premium
Netflix와 같은 동영상 스트리밍 서비스를 설계해줘.,premium
Google Drive와 같은 파일 저장 서비스를 설계해줘.,premium
대규모 로그 수집 및 분석 시스템을 설계해줘.,premium
분산 캐시 시스템을 설계하고 장애 대응 전략까지 설명해줘.,premium
실시간 위치 공유 서비스를 설계해줘.,premium
은행 계좌 이체 시스템을 설계하고 데이터 정합성을 보장하는 방법을 설명해줘.,premium
검색 엔진의 색인(Index) 시스템을 설계해줘.,premium
추천 시스템의 전체 아키텍처를 설계해줘.,premium
수억 건의 데이터를 저장하는 데이터베이스 샤딩 전략을 설계해줘.,premium
LLM 기반 RAG 시스템의 전체 구조를 설계해줘.,premium
AI Router의 Feature Engineering 전략을 설계해줘.,premium
GitHub Actions 기반 CI/CD를 대규모 조직에서 운영하기 위한 구조를 설계해줘.,premium
멀티 리전(Multi Region) 장애 복구 전략을 설계해줘.,premium
MSA 환경에서 분산 트랜잭션을 처리하는 전략을 설계해줘.,premium
수백만 사용자의 알림(Push) 시스템을 설계해줘.,premium
실시간 주식 거래 시스템을 설계해줘.,premium
고가용성(HA)을 만족하는 Kubernetes 클러스터 아키텍처를 설계해줘.,premium
프랑스의 수도는 파리인가?,cheap
15 곱하기 12는?,cheap
광합성에 필요한 3가지 요소는 무엇인가?,cheap
조선의 1대 왕은 누구인가?,cheap
빛의 속도는 1초에 약 몇 km인가?,cheap
DNA는 무엇의 약자인가?,cheap
물이 끓는 섭씨 온도는?,cheap
삼각형의 세 내각의 합은 몇 도인가?,cheap
2의 10승은 얼마인가?,cheap
'안녕하세요'를 스페인어로 번역해줘.,cheap
'Serendipity'의 한국어 뜻은?,cheap
한글을 창제한 왕은 누구인가?,cheap
CPU는 무엇의 약자인가?,cheap
HTML은 어떤 언어인가?,cheap
RAM과 ROM의 가장 큰 차이점 한 줄로 설명해.,cheap
세계에서 가장 인구가 많은 나라는?,cheap
유엔(UN) 본부는 어느 도시에 있나?,cheap
"태평양, 대서양, 인도양 중 가장 큰 바다는?",cheap
원주율(파이)의 소수점 아래 두 자리까지의 값은?,cheap
피카소는 어느 나라 사람인가?,cheap
모나리자를 그린 화가는 누구인가?,cheap
제1차 세계대전이 시작된 연도는?,cheap
백설공주에 나오는 난쟁이는 몇 명인가?,cheap
가장 큰 포유류는 무엇인가?,cheap
하루는 몇 분인가?,cheap
1년은 몇 주인가?,cheap
금의 원소 기호는?,cheap
나트륨의 화학 기호는?,cheap
한국의 광복절은 몇 월 며칠인가?,cheap
미국의 독립기념일은 언제인가?,cheap
태양계에서 가장 큰 행성은?,cheap
올림픽은 몇 년마다 열리는가?,cheap
축구는 한 팀당 몇 명의 선수가 뛰는가?,cheap
농구 림의 높이는 지면으로부터 몇 미터인가?,cheap
컴퓨터의 마우스를 처음 발명한 사람은?,cheap
이순신 장군이 거북선을 만든 시대는?,cheap
가장 가벼운 원소는 무엇인가?,cheap
비트코인의 창시자로 알려진 가명은?,cheap
서울에서 부산까지 KTX로 대략 얼마나 걸려?,cheap
태극기의 4괘의 이름은?,cheap
아인슈타인의 상대성 이론 공식 E=mc^2에서 c는 무엇인가?,cheap
음속은 1초에 약 몇 미터인가?,cheap
"파이썬으로 멀티스레딩과 멀티프로세싱의 차이를 설명하고, GIL이 성능에 미치는 영향을 분석한 후 각각의 예제 코드를 작성해줘.",premium
양자역학의 슈뢰딩거 고양이 사고실험이 갖는 철학적 의미를 결정론과 확률론적 세계관의 대비를 통해 3가지 관점에서 깊이 있게 분석해줘.,premium
"주어진 3년치 재무제표 데이터를 바탕으로 현금흐름표를 분석하여 기업의 흑자 도산 가능성을 진단하고, 2025년도 투자 유망 섹터를 논리적으로 추론해봐.",premium
"React에서 Intersection Observer API를 활용하여 무한 스크롤을 구현하는 커스텀 훅을 작성하고, 메모리 누수 방지와 렌더링 최적화 방안을 상세히 설명해줘.",premium
"이 Java Spring Boot 코드에서 발생할 수 있는 N+1 문제의 원인을 JPA 영속성 컨텍스트 관점에서 찾고, Fetch Join과 EntityGraph를 활용한 해결책을 제시해줘.",premium
MSA(Microservices Architecture) 도입 시 발생할 수 있는 분산 트랜잭션의 데이터 일관성 문제를 해결하기 위해 Saga 패턴과 CQRS를 어떻게 결합하여 사용할 수 있는지 아키텍처 다이어그램과 함께 설명해줘.,premium
"미래의 화성 식민지를 배경으로, 인공지능 통치자와 인간 반군 지도자 간의 이념적 갈등을 다룬 단편 소설의 도입부 2000자를 작성해줘. 시점은 3인칭 관찰자 시점으로 해.",premium
"신규 비건 뷰티 브랜드를 런칭하기 위한 마케팅 기획안을 작성해줘. 시장 조사, 타겟 페르소나, 4P 믹스 전략, 그리고 6개월간의 구체적인 실행 로드맵을 목차별로 구성해.",premium
"A가 참이고 B가 거짓일 때, C가 참이기 위한 조건들을 명제 논리를 사용해 귀납적으로 추론하고, 이를 일상 생활의 예시에 빗대어 설명해봐.",premium
"공리주의(벤담, 밀)와 칸트의 의무론을 비교 분석하고, 완전 자율주행 자동차 사고 시 알고리즘이 누구를 희생해야 하는지에 대한 트롤리 딜레마에 이 두 철학을 어떻게 적용할 수 있는지 논해줘.",premium
"푸리에 변환(Fourier Transform)의 수학적 증명을 단계별로 설명하고, 이것이 현대의 디지털 신호 처리(DSP) 및 이미지 압축(JPEG) 기술에 어떻게 응용되는지 수식과 함께 알려줘.",premium
"주어진 e-commerce 로그 데이터를 기반으로 사용자 이탈(Churn)을 예측하는 머신러닝 파이프라인을 구축하려고 해. 결측치 처리, 피처 엔지니어링, 불균형 데이터 처리 방법론을 포함한 전체 전처리 과정을 상세히 설명해줘.",premium
"현재 세계 경제 상황(고금리, 인플레이션 등)을 고려할 때, 향후 5년간의 주요 국가별 통화 정책 변화가 신흥국 증시에 미칠 영향을 거시경제학적 모델(IS-LM-BP 등)을 통해 예측해줘.",premium
"19세기 유럽의 낭만주의 문학이 당시의 산업혁명과 계몽주의에 대한 반발로 어떻게 형성되었는지 설명하고, 빅토르 위고와 괴테의 대표작을 중심으로 그 특징을 비교 분석해줘.",premium
"블록체인의 합의 알고리즘 중 PoW, PoS, DPoS의 작동 원리와 장단점을 트릴레마(Trilemma) 관점에서 비교하고, 차세대 블록체인이 이 한계를 극복하기 위해 도입하고 있는 최신 기술 동향을 요약해줘.",premium
"C++ 메모리 할당자(Custom Memory Allocator)를 작성하려고 해. 메모리 단편화를 최소화하기 위한 풀링(Pooling) 기법을 사용하여, 객체 생성과 소멸에 드는 오버헤드를 줄이는 코드를 작성하고 시간 복잡도를 분석해줘.",premium
"최근 논의되고 있는 인공지능 윤리 가이드라인을 바탕으로, AGI(범용 인공지능)가 인간의 일자리를 대체했을 때 도입해야 할 보편적 기본소득(UBI)의 경제적 타당성과 재원 마련 방안을 논술해.",premium
"Transformer 아키텍처에서 Self-Attention 메커니즘의 수학적 연산 과정을 Query, Key, Value 행렬을 사용하여 설명하고, 이것이 RNN 기반 모델의 장기 의존성 문제를 어떻게 해결했는지 설명해.",premium
기후 변화로 인한 해수면 상승이 향후 50년 내에 동남아시아 경제와 지정학적 안보에 미칠 연쇄적 영향을 시나리오 플래닝 기법을 활용하여 낙관적/비관적/가장 가능성 높은 3가지 시나리오로 나누어 분석해줘.,premium
"환자 데이터를 처리하는 의료 AI 시스템을 설계할 때 준수해야 할 HIPAA 및 GDPR의 주요 규제를 비교하고, 데이터 비식별화(De-identification)와 연합 학습(Federated Learning)을 통해 프라이버시를 보호하는 방법을 기술해.",premium
"Kubernetes 클러스터 환경에서 트래픽 급증 시 Pod의 안정성을 유지하기 위한 HPA(Horizontal Pod Autoscaler) 설정 방안과, 노드 레벨의 Cluster Autoscaler 최적화 전략을 결합하여 설명해줘.",premium
"도스토옙스키의 '죄와 벌'에 나타난 라스콜니코프의 초인 사상을 니체의 위버멘쉬 개념과 비교하고, 현대 사회에서 이러한 엘리트주의적 관점이 초래할 수 있는 윤리적 위험성에 대해 비판적 에세이를 써줘.",premium
"B-Tree와 Red-Black Tree의 구조적 차이와 삽입/삭제 시 발생하는 밸런싱 과정을 비교 설명하고, 데이터베이스 인덱싱에서 왜 Red-Black Tree 대신 B-Tree를 주로 사용하는지 디스크 I/O 관점에서 논리적으로 설명해.",premium
"세포 내 소기관인 미토콘드리아와 엽록체의 내공생설(Endosymbiotic theory)을 뒷받침하는 분자생물학적 및 유전학적 증거들을 5가지 이상 제시하고, 이 이론이 진화생물학에 미친 영향을 분석해줘.",premium
"Rust 언어의 소유권(Ownership) 모델과 수명(Lifetimes) 시스템이 가비지 컬렉터 없이도 메모리 안전성을 보장하는 원리를 상세히 설명하고, 컴파일러가 대여 검사기(Borrow Checker)를 통해 예방하는 대표적인 에러 3가지를 코드와 함께 보여줘.",premium
"지구 온난화가 해양 산성화에 미치는 화학적 메커니즘을 상세히 설명하고, 이것이 해양 생태계 먹이사슬 최하단에 위치한 플랑크톤의 생존에 어떤 영향을 주는지 생물학적 관점에서 논해줘.",premium
"미시경제학의 게임이론 중 '죄수의 딜레마'를 활용하여, 국제 사회의 탄소 배출 감축 협약이 왜 실패하기 쉬운지 분석하고 이를 극복하기 위한 제도적 장치를 제안해.",premium
"TypeScript에서 제네릭(Generic)과 유틸리티 타입(Utility Types)을 결합하여, API 응답 데이터를 동적으로 매핑하고 타입 안정성을 보장하는 고급 래퍼(Wrapper) 함수를 작성해줘.",premium
"현대 미술에서 개념미술(Conceptual Art)이 지니는 의미를 마르셀 뒤샹의 '샘'을 시작으로 앤디 워홀의 팝아트에 이르기까지 미술사적 맥락에서 추적하고, 이를 통해 '예술이란 무엇인가'라는 질문을 재정의해봐.",premium
"항공기 제트 엔진의 터보팬 메커니즘을 열역학 법칙을 기반으로 설명하고, 기존 터보제트 엔진 대비 바이패스 비(Bypass Ratio)를 높였을 때 얻을 수 있는 연료 효율성 증가 원리를 논리적으로 도출해줘.",premium

